"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Angola","Metal ores","Imports","IMP","t","132211","139488","116189","127002","130963","0","0","0","0","0","0","0","0","0","0","43579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","510911","0","1039317","756250","739132","943749","1154769","1698881","1272490","627203","486339","282022","299961","302638","315500","329649","338122","355768"
"Angola","Metal ores","Material Footprint (RMC)","MF","t","5085329","5033736","4331938","4838671","4502926","3513613","3327943","3221097","1675672","1667293","1816877","1744458","1692025","1746995","1861376","2133622","1846624","1848073","1788696","1930339","1777741","1881713","4654764","6317635","7773518","2530260","2939787","3212536","3034864","3391605","2665989","3426226","3714992","4766647","5158535","7205158","6682211","11206313","17411122","21468470","14776921","20979766","19740299","20308582","19242590","14141290","9753707","9293294","6682714","3608800","3640627","3644881","4134264","3786047","3809559"
"Anguilla","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anguilla","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anguilla","Metal ores","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","33","44","18","23","0","22","87","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anguilla","Metal ores","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1507","1170","770","955","1491","0","3497","11978","6341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antigua and Barbuda","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antigua and Barbuda","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antigua and Barbuda","Metal ores","Exports","EXP","t","5","0","0","8","5","36","0","19","3","0","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1241","765","0","0","0","0","984","0","2100","0","584","1476","1464","1508","433","315","398","703","1506","1504","440","437","456","467","480","494"
"Antigua and Barbuda","Metal ores","Imports","IMP","t","2798","0","0","2393","1277","1886","0","1003","1269","0","0","4063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12225","8812","0","0","0","0","12547","16323","17979","0","13885","9513","7063","8538","9359","9136","12998","12717","14762","16771","21255","20197","21450","22303","23032","23259"
"Argentina","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","Metal ores","Exports","EXP","t","231571","282487","307738","576212","387405","60849","363172","290342","836220","616604","471694","744421","925570","778439","645140","1286534","1309687","1202540","1718733","2445470","2299559","1518292","980466","737531","800485","1379846","1469126","1535816","2058825","2515763","2368531","2787320","3452060","3041717","2450226","2600718","2238364","2145024","1969874","2075426","1953892","1989868","2216258","2076266","1928331","1383156","1431677","1100262","441011","454366","433866","440772","444578","448383","451328"
"Argentina","Metal ores","Imports","IMP","t","3053111","3439585","2930418","3505783","3016061","3849130","3089749","3941325","3192045","4316080","4077188","3681640","3354470","3208516","3767888","3403252","4266647","4576253","4813529","4884251","3723434","3469238","5286107","4497628","5585928","5982171","6569346","7397121","7876920","6056429","7008131","6338170","6449003","7697091","7943405","8545323","8795959","7844815","10027522","5478777","8654296","9513711","7273510","8346506","8837818","7919493","6569219","7882659","8236962","5430397","5231098","5509320","5789054","6053547","6328120"
"Argentina","Metal ores","Material Footprint (RMC)","MF","t","4745001","5091550","4604356","4340666","4838582","4556315","5052143","5260249","4765499","5630285","5006177","4804493","5597043","5554014","6042838","6271244","6615245","6122217","6878438","4979977","5307522","7474122","12297505","14050158","15475194","13558882","14902290","20226708","33878945","36098795","28338095","26937835","17774884","16715243","18302166","19660840","20342779","23395211","22500125","20131903","24783480","27550517","28011655","31699790","29557837","30293575","30949686","38377881","32356429","26136367","23363903","26794294","28976164","28729674","29055082"
"Armenia","Excavated earthen materials (including soil) nec","Exports","EXP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armenia","Excavated earthen materials (including soil) nec","Imports","IMP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armenia","Metal ores","Exports","EXP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","67647","0","68833","62630","95009","88730","118108","95726","87786","91855","110364","108969","135043","186689","190312","215501","245939","265330","389412","480081","558248","502343","635532","632432","659041","650933","657709","669125"
"Armenia","Metal ores","Imports","IMP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","21586","0","36809","22081","39662","68896","96699","88332","111439","161226","241694","223140","204099","214979","195148","190105","193102","212625","188896","183949","137918","145087","167676","172588","178708","174259","165256","172100"
"Armenia","Metal ores","Material Footprint (RMC)","MF","t","","","","","","","","","","","","","","","","","","","","","","","401232","490120","352850","424817","487315","551972","616535","680189","639383","512782","558289","689411","725600","908708","990065","1539860","3198950","2629889","2791922","3154627","2290826","2496200","2220043","1606863","1563027","1560385","1481635","1816475","2090249","1914527","2215278","2436406","2541208"
"Aruba","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aruba","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aruba","Metal ores","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","143","0","0","0","0","678","2330","2570","1766","0","0","0","0","0","0","49","0","0","0","3695","988","811","2548","1081","470","1569","3953","3915","2022","1696","1655","1735","1776","1821","1869"
"Aruba","Metal ores","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3536","5434","3472","194","0","0","0","37189","12101","13949","16100","0","0","0","0","0","0","11574","0","0","0","12747","9376","14133","14055","12332","9744","12202","17903","17076","11346","13622","12967","13624","14112","14531","14676"
"Asia + Pacific","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Asia + Pacific","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Asia + Pacific","Metal ores","Exports","EXP","t","115213204","112554327","112163543","136201371","156345181","148892195","162540443","161182606","151638070","162576083","167709453","156151290","157802346","163237465","180573818","184833614","175417055","174034946","197357170","205986146","194582997","216193009","204644634","227447434","237211207","268788776","253500601","297410965","283709235","281619234","319101747","312889760","367045962","396340836","468419091","548186274","609774301","656137924","677130794","710061762","876781285","879542296","926151974","1141191587","1162167190","1224073706","1289977522","1187681587","1185129885","1259122258","1261187677","1319484449","1352661589","1392650821","1434724135"
"Asia + Pacific","Metal ores","Imports","IMP","t","147840529","140765987","136258614","167860406","180173332","165421745","168970313","175389608","154263084","178899177","188087261","176358019","174007859","162909700","184571609","186428781","177642465","209865526","229382519","243207062","244304223","268649441","261182316","309639116","310327399","329024232","336718269","364220575","316685004","343646050","391053199","418849874","456513391","523432028","597482328","670042863","725734646","832453241","901277982","1028056621","1114759412","1216359061","1289036194","1420156262","1506092990","1538267614","1629203954","1670933998","1691499303","1738657742","1743606757","1828166063","1877798931","1937495646","1999761435"
"Asia + Pacific","Metal ores","Material Footprint (RMC)","MF","t","548428897","583688940","662493506","723225032","734938259","728904541","754514127","781491607","812093254","822688080","836745427","864050821","889741733","913567199","998634613","1052851067","1123651253","1204367525","1305354873","1361866266","1350127359","1306115353","1423254078","1456374731","1484998172","1608516709","1658361193","1696264987","1623930123","1621201298","1814682799","1921752876","2040165036","2222928003","2496394725","2741597377","2947576956","3125003134","3420427313","3859714998","4266251862","4805329859","4993046971","5454946514","5674939019","5746062694","5947518269","5965315439","5730757973","5861091509","5692670951","5943447566","5712445028","5708370574","5880521225"
"Australia","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
